"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-06-05-ABM-F.nlogox"
"exp2d_sens_response_strength"
"05/06/2026 16:07:01:745 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","punishment-severity","reporter-protection","learning-rate","baseline-recovery-rate","[step]","committed-misconduct-total","punished-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"85","300","0.4","0.3","0.5","0.3","0.45","0.05","300","82525","7372","75153","0.9106694940926991","7372","5127","0.8878859845487691","1"
"87","300","0.4","0.3","0.5","0.3","0.45","0.05","300","82062","7389","74673","0.9099583241939022","7389","5165","0.8816126244958644","1"
"92","300","0.4","0.3","0.5","0.3","0.5","0.05","300","82864","7085","75779","0.914498455300251","7085","4967","0.8897904395767424","1"
"88","300","0.4","0.3","0.5","0.3","0.45","0.05","300","82293","7440","74853","0.9095913382669243","7440","5179","0.8779691085534607","1"
"94","300","0.4","0.3","0.5","0.3","0.5","0.05","300","82966","7102","75864","0.9143986693344262","7102","4946","0.8901169011182875","1"
"89","300","0.4","0.3","0.5","0.3","0.45","0.05","300","82424","7376","75048","0.9105115015044162","7376","5162","0.8816528918894977","1"
"95","300","0.4","0.3","0.5","0.3","0.5","0.05","300","83144","7105","76039","0.9145458481670355","7105","5018","0.902597820104177","1"
"93","300","0.4","0.3","0.5","0.3","0.5","0.05","300","83328","7154","76174","0.9141465053763441","7154","5046","0.8795579350638265","1"
"90","300","0.4","0.3","0.5","0.3","0.45","0.05","300","83053","7495","75558","0.9097564205988947","7495","5237","0.8982036984282519","1"
"96","300","0.4","0.3","0.5","0.3","0.5","0.05","300","83076","7107","75969","0.9144518272425249","7107","4966","0.8851323053297523","1"
"97","300","0.4","0.3","0.5","0.3","0.5","0.05","300","83477","7246","76231","0.9131976472561304","7246","5007","0.8762067125770157","1"
"91","300","0.4","0.3","0.5","0.3","0.5","0.05","300","83178","7198","75980","0.9134626944624781","7198","5054","0.8845484650250192","1"
"99","300","0.4","0.3","0.5","0.3","0.5","0.05","300","83346","7130","76216","0.9144530031435222","7130","4987","0.8815076028658666","1"
"100","300","0.4","0.3","0.5","0.3","0.5","0.05","300","83349","7225","76124","0.9133162965362512","7225","4963","0.8910943137218724","1"
"98","300","0.4","0.3","0.5","0.3","0.5","0.05","300","83028","7185","75843","0.9134629281688105","7185","4992","0.875358280009542","1"
