"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Experiments-04-05-ABM.nlogox"
"exp1_policy_grid"
"05/05/2026 00:18:33:888 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","number-employees","initial-misconduct-propensity","initial-fear","response-strength","drift-speed","punishment-value","reporter-protection","[step]","true-misconduct-total","sanctioned-misconduct-total","hidden-misconduct-total","hidden-misconduct-rate","reported-events-total","retaliation-events-total","mean [fear] of employees","mean [misconduct-propensity] of employees"
"142","300","0.4","0.3","0.2","0.05","0.25","0.25","300","86749","12212","74537","0.8592260429515037","12212","9103","0.7326251869107185","1"
"144","300","0.4","0.3","0.2","0.05","0.25","0.25","300","86899","12225","74674","0.8593194398094339","12225","9102","0.7220478355778858","1"
"133","300","0.4","0.3","0.2","0.05","0.25","0.2","300","87991","10482","77509","0.8808741803138957","10482","8323","0.708466050529355","1"
"147","300","0.4","0.3","0.2","0.05","0.25","0.25","300","86684","12049","74635","0.8610008767477274","12049","9102","0.7218558542409362","1"
"145","300","0.4","0.3","0.2","0.05","0.25","0.25","300","86705","12132","74573","0.8600772735136382","12132","9115","0.7219946461199334","1"
"148","300","0.4","0.3","0.2","0.05","0.25","0.25","300","86658","12122","74536","0.8601167809088601","12122","9108","0.7166064082145546","1"
"152","300","0.4","0.3","0.2","0.05","0.25","0.3","300","73963","13418","60545","0.8185849681597556","13418","9382","0.7480506699182377","0.9999576672887728"
"132","300","0.4","0.3","0.2","0.05","0.25","0.2","300","87958","10393","77565","0.8818413333636508","10393","8388","0.7242835899108773","1"
"149","300","0.4","0.3","0.2","0.05","0.25","0.25","300","86806","12088","74718","0.8607469529756008","12088","9119","0.7219154074072031","1"
"146","300","0.4","0.3","0.2","0.05","0.25","0.25","300","86735","12147","74588","0.8599527295786015","12147","9093","0.7189586761190281","1"
"151","300","0.4","0.3","0.2","0.05","0.25","0.3","300","74212","13497","60715","0.8181291435347383","13497","9397","0.747477559780159","0.9997495697544495"
